20.000000	50.000000	40.000000	30.000000	20.000000	10.000000
20.000000	42.000000	40.000000	30.000000	20.000000	20.000000	50.000000
20.000000	37.200000	38.400000	30.000000	22.000000	26.000000	50.000000
20.000000	34.000000	36.480000	30.080000	24.400000	30.000000	50.000000
20.000000	31.696000	34.704000	30.224000	26.656000	32.880000	50.000000
20.000000	29.958400	33.206400	30.406400	28.614400	35.059200	50.000000
20.000000	28.616320	31.996800	30.608000	30.261760	36.758400	50.000000
20.000000	27.569152	31.042944	30.816512	31.630336	38.107392	50.000000
20.000000	26.750080	30.302899	31.024563	32.762982	39.190502	50.000000
20.000000	26.110627	29.736668	31.227914	33.700802	40.066897	50.000000
20.000000	25.613709	29.309709	31.424242	34.479443	40.780298	50.000000
20.000000	25.230167	28.993415	31.612375	35.128573	41.364067	50.000000
20.000000	24.936783	28.764557	31.791822	35.672432	41.844154	50.000000
20.000000	24.714981	28.604455	31.962491	36.130654	42.240978	50.000000
20.000000	24.549879	28.498167	32.124516	36.519086	42.570717	50.000000
20.000000	24.429560	28.433779	32.278160	36.850498	42.846247	50.000000
20.000000	24.344491	28.401811	32.423751	37.135180	43.077847	50.000000
20.000000	24.287056	28.394735	32.561648	37.381427	43.273744	50.000000
20.000000	24.251180	28.406581	32.692221	37.595934	43.440531	50.000000
20.000000	24.232024	28.432628	32.815835	37.784110	43.583505	50.000000
20.000000	24.225740	28.469148	32.932848	37.950334	43.706925	50.000000
20.000000	24.229273	28.513206	33.043605	38.098155	43.814221	50.000000
20.000000	24.240205	28.562499	33.148435	38.230458	43.908163	50.000000
20.000000	24.256622	28.615227	33.247652	38.349594	43.990989	50.000000
20.000000	24.277018	28.669991	33.341555	38.457484	44.064512	50.000000
20.000000	24.300209	28.725709	33.430428	38.555703	44.130204	50.000000
20.000000	24.325267	28.781552	33.514539	38.645548	44.189263	50.000000
20.000000	24.351470	28.836892	33.594143	38.728089	44.242667	50.000000
20.000000	24.378260	28.891257	33.669482	38.804215	44.291218	50.000000
20.000000	24.405207	28.944302	33.740783	38.874669	44.335573	50.000000
20.000000	24.431984	28.995779	33.808264	38.940072	44.376277	50.000000
20.000000	24.458346	29.045517	33.872128	39.000951	44.413780	50.000000
20.000000	24.484111	29.093405	33.932570	39.057752	44.448458	50.000000
20.000000	24.509147	29.139379	33.989773	39.110856	44.480625	50.000000
20.000000	24.533364	29.183411	34.043910	39.160593	44.510546	50.000000
20.000000	24.556700	29.225501	34.095146	39.207247	44.538446	50.000000
20.000000	24.579120	29.265669	34.143637	39.251066	44.564517	50.000000
20.000000	24.600605	29.303952	34.189529	39.292270	44.588923	50.000000
20.000000	24.621153	29.340398	34.232961	39.331052	44.611807	50.000000
20.000000	24.640771	29.375061	34.274066	39.367584	44.633294	50.000000
20.000000	24.659474	29.408004	34.312968	39.402022	44.653493	50.000000
20.000000	24.677285	29.439290	34.349786	39.434505	44.672500	50.000000
20.000000	24.694229	29.468988	34.384630	39.465160	44.690401	50.000000
20.000000	24.710335	29.497164	34.417607	39.494102	44.707272	50.000000
20.000000	24.725633	29.523886	34.448817	39.521437	44.723183	50.000000
20.000000	24.740157	29.549221	34.478354	39.547262	44.738197	50.000000
20.000000	24.753938	29.573234	34.506309	39.571667	44.752370	50.000000
20.000000	24.767009	29.595989	34.532765	39.594736	44.765755	50.000000
20.000000	24.779403	29.617548	34.557804	39.616545	44.778400	50.000000
20.000000	24.791151	29.637970	34.581501	39.637167	44.790349	50.000000
20.000000	24.802284	29.657312	34.603928	39.656670	44.801642	50.000000
20.000000	24.812832	29.675629	34.625153	39.675116	44.812319	50.000000
20.000000	24.822825	29.692974	34.645240	39.692564	44.822414	50.000000
20.000000	24.832289	29.709397	34.664251	39.709069	44.831961	50.000000
20.000000	24.841252	29.724946	34.682243	39.724683	44.840990	50.000000
20.000000	24.849740	29.739666	34.699271	39.739456	44.849530	50.000000
20.000000	24.857777	29.753601	34.715387	39.753433	44.857609	50.000000
20.000000	24.865386	29.766793	34.730639	39.766659	44.865252	50.000000
20.000000	24.872590	29.779280	34.745073	39.779173	44.872483	50.000000
20.000000	24.879410	29.791100	34.758734	39.791015	44.879324	50.000000
20.000000	24.885866	29.802288	34.771663	39.802220	44.885797	50.000000
20.000000	24.891977	29.812878	34.783899	39.812824	44.891922	50.000000
20.000000	24.897761	29.822902	34.795479	39.822858	44.897718	50.000000
20.000000	24.903237	29.832389	34.806439	39.832354	44.903202	50.000000
20.000000	24.908420	29.841368	34.816812	39.841340	44.908392	50.000000
20.000000	24.913325	29.849867	34.826628	39.849844	44.913303	50.000000
20.000000	24.917968	29.857910	34.835919	39.857892	44.917950	50.000000
20.000000	24.922362	29.865523	34.844711	39.865509	44.922348	50.000000
20.000000	24.926521	29.872728	34.853033	39.872717	44.926510	50.000000
20.000000	24.930458	29.879547	34.860908	39.879538	44.930449	50.000000
20.000000	24.934184	29.886001	34.868361	39.885994	44.934177	50.000000
20.000000	24.937710	29.892109	34.875415	39.892104	44.937705	50.000000
20.000000	24.941047	29.897890	34.882091	39.897886	44.941043	50.000000
20.000000	24.944206	29.903361	34.888409	39.903358	44.944203	50.000000
20.000000	24.947195	29.908539	34.894389	39.908537	44.947193	50.000000
20.000000	24.950024	29.913440	34.900048	39.913438	44.950023	50.000000
20.000000	24.952702	29.918078	34.905404	39.918077	44.952701	50.000000
20.000000	24.955236	29.922468	34.910473	39.922467	44.955236	50.000000
20.000000	24.957635	29.926622	34.915270	39.926622	44.957635	50.000000
20.000000	24.959905	29.930554	34.919810	39.930554	44.959905	50.000000
20.000000	24.962053	29.934275	34.924107	39.934275	44.962053	50.000000
20.000000	24.964086	29.937797	34.928174	39.937797	44.964086	50.000000
20.000000	24.966011	29.941130	34.932023	39.941130	44.966011	50.000000
20.000000	24.967832	29.944284	34.935665	39.944284	44.967832	50.000000
20.000000	24.969556	29.947269	34.939112	39.947269	44.969556	50.000000
20.000000	24.971187	29.950095	34.942374	39.950095	44.971187	50.000000
20.000000	24.972731	29.952769	34.945462	39.952769	44.972731	50.000000
20.000000	24.974192	29.955300	34.948384	39.955300	44.974192	50.000000
20.000000	24.975575	29.957695	34.951150	39.957695	44.975575	50.000000
20.000000	24.976884	29.959962	34.953768	39.959962	44.976884	50.000000
20.000000	24.978122	29.962107	34.956245	39.962107	44.978122	50.000000
20.000000	24.979294	29.964137	34.958589	39.964137	44.979294	50.000000
20.000000	24.980403	29.966058	34.960808	39.966058	44.980403	50.000000
20.000000	24.981453	29.967877	34.962908	39.967877	44.981453	50.000000
20.000000	24.982447	29.969598	34.964895	39.969598	44.982447	50.000000
20.000000	24.983387	29.971227	34.966776	39.971227	44.983387	50.000000
20.000000	24.984277	29.972768	34.968556	39.972768	44.984277	50.000000
20.000000	24.985119	29.974227	34.970240	39.974227	44.985119	50.000000
20.000000	24.985916	29.975608	34.971834	39.975608	44.985916	50.000000
20.000000	24.986671	29.976914	34.973343	39.976914	44.986671	50.000000
20.000000	24.987385	29.978151	34.974771	39.978151	44.987385	50.000000
